,feature,Ranking
1009,ATP6V0A2,124
1010,ATP6V0A4,37
1011,ATP6V0B,85
1012,ATP6V0C,11
1013,ATP6V0D1,138
1014,ATP6V0D2,1
1015,ATP6V0E1,124
1016,ATP6V1A,79
1017,ATP6V1B1,127
1018,ATP6V1B2,96
1019,ATP6V1C1,3
1020,ATP6V1C2,103
1021,ATP6V1D,102
1022,ATP6V1E1,44
1023,ATP6V1E2,23
1024,ATP6V1F,67
1025,ATP6V1G1,128
1026,ATP6V1G3,95
1027,ATP6V1H,3
1028,ATP7A,12
1029,ATP7B,145
1030,ATP8A1,145
1031,ATP8A2,98
1032,ATP8B1,32
1033,ATP8B2,41
1034,ATP8B4,1
1035,ATP9A,1
1036,ATP9B,90
1037,ATPAF1,94
1038,ATPAF2,128
1039,ATPIF1,93
1040,ATR,33
1041,ATRIP,115
1042,ATRN,146
1043,ATRNL1,93
1044,ATRX,1
1045,ATXN1,65
1046,ATXN10,63
1047,ATXN1L,67
1048,ATXN2,93
1049,ATXN3,78
1050,ATXN7,58
1051,ATXN7L1,95
1052,ATXN7L2,104
1053,ATXN7L3,14
1054,ATXN7L3B,7
1055,ATXN8OS,105
1056,AUH,86
1057,AUP1,82
1058,AURKA,41
1059,AURKB,91
1060,AURKC,141
1061,AUTS2,93
1062,AVEN,141
1063,AVIL,76
1064,AVL9,1
1065,AVPI1,116
1066,AVPR1A,16
1067,AVPR1B,29
1068,AVPR2,6
1069,AWAT1,18
1070,AXIN2,66
1071,AXL,117
1072,AZGP1,3
1073,AZI2,87
1074,AZIN1,32
1075,AZU1,17
1076,B2M,92
1077,B3GALNT1,77
1078,B3GALNT2,39
1079,B3GALT1,132
1080,B3GALT2,41
1081,B3GALT4,114
1082,B3GALT5,132
1083,B3GAT2,41
1084,B3GAT3,58
1085,B3GNT2,121
1086,B3GNT3,90
1087,B3GNT5,91
1088,B3GNT6,114
1089,B3GNT7,106
1090,B3GNT8,132
1091,B3GNT9,63
1092,B3GNTL1,84
1093,B4GALNT1,81
1094,B4GALNT2,14
1095,B4GALT1,140
1096,B4GALT2,52
1097,B4GALT3,133
1098,B4GALT4,82
1099,B4GALT5,32
1100,B4GALT6,146
1101,B4GALT7,73
1102,B9D1,39
1103,B9D2,81
1104,BAALC,23
1105,BAAT,97
1106,BACE1,78
1107,BACE2,3
1108,BACH1,10
1109,BACH2,38
1110,BAD,101
1111,BAG1,107
1112,BAG2,27
1113,BAG3,142
1114,BAG4,34
1115,BAG5,78
1116,BAHCC1,132
1117,BAHD1,64
1118,BAIAP2,50
1119,BAIAP2L1,21
1120,BAIAP2L2,72
1121,BAIAP3,1
1122,BAK1,105
1123,BAMBI,114
1124,BANF1,22
1125,BANF2,108
1126,BANK1,147
1127,BANP,6
1128,BAP1,138
1129,BARD1,116
1130,BARHL1,12
1131,BARHL2,61
1132,BARX2,113
1133,BASP1,137
1134,BATF,115
1135,BATF3,6
1136,BAX,96
1137,BAZ1A,140
1138,BAZ1B,38
1139,BAZ2A,63
1140,BAZ2B,122
1141,BBC3,126
1142,BBOX1,145
1143,BBS1,19
1144,BBS10,4
1145,BBS12,149
1146,BBS2,47
1147,BBS4,132
1148,BBS5,73
1149,BBS7,109
1150,BBS9,63
1151,BBX,108
